|text|label|lang
47|Apostas de Goiás acertam cinco números da Mega-Sena e levam prêmio de R$ 58 mil|1|ptbr
48|Quer comprar um carro? Essa notícia pode fazer você mudar de ideia em instantes|0|ptbr
49|É melhor financiar ou assinar um carro zero?|1|ptbr
50|Qual vale a pena comprar: carro novo básico ou usado completão?|1|ptbr
51|Toyota terá SUV compacto no país, modelo será híbrido flex|2|ptbr
52|Novo SUV híbrido nacional da Toyota será rival de Hyundai Creta e Chevrolet Tracker|2|ptbr
53|Porsche Cayenne 2024, Novo SUV compacto Toyota,Nova picape Ram nacional Shineray Jet 50S,C3 Aircross|2|ptbr
54|Investimento da Toyota no Brasil: Nova produção de veículo híbrido e geração de empregos|2|ptbr
55|Aneel autoriza reajuste médio de 8% para tarifa de energia elétrica da Bahia|0|ptbr
56|Energia mais cara: Quase 30 milhões de brasileiros vão ter reajuste de até 8,6% na conta de luz|0|ptbr
57|Conta de luz residencial sofre aumento de mais de 8% na Bahia - iBahia|0|ptbr
58|PÉSSIMA NOTÍCIA para quem paga conta de luz é divulgada e vai desagradar|0|ptbr
59|Nova linha de crédito ESPECIAL para quem é MEI|2|ptbr
60|BNDES libera mais de R$ 2 bilhões em crédito rural|2|ptbr
61|Nova linha de crédito para MEIs com benefícios vantajosos|2|ptbr
62|Grupo tem acesso a função ESPECIAL do Nubank; conheça a novidade|2|ptbr
63|Consignado do Nubank: como fazer a contratação pelo app?|1|ptbr
64|Nubank possui excelente benefício para grande grupo de trabalhadores, mas poucos sabem|2|ptbr
65|Esse é o segredo para aumentar o limite do Nubank que ninguém te conta; confira essa dica|2|ptbr
66|Tok&Stok: a poucos dias de fechar Vila Velha, só restaram as prateleiras|0|ptbr
67|Falência da Tok&Stok é solicitada por consultoria devido a dívida de R$ 3,8 milhões|0|ptbr
68|Falência: Loja amada de móveis, tradicional de roupas e até 2 bancos deixam consumidores apavorados|0|ptbr
69|Crise financeira: Tok&Stok vai fechar lojas pelo Brasil e faz liquidação de 50%|0|ptbr
70|Moradora do jardim Tropical leva a BMW X1 do Paraná Supermercados|2|ptbr
71|Moradora do bairro Santa Casa é a ganhadora do Fiat Mobi sorteado pelo Paraná Supermercados|2|ptbr
72|Edipo Pagotto ganha Mobi do Paraná Supermercado de Pitanga|2|ptbr
73|Moradora de Campo Mourão torna sonho realidade ao ganhar BMW de R$ 280 mil na promoção do Paraná Supermercados|2|ptbr
74|Rede de farmácias do Brasil, anuncia falência e baixa as portas|0|ptbr
75|Após 50 anos, rede de farmácias muito conhecida, anuncia falência no Brasil e baixa as portas oficialmente|0|ptbr
76|Após 50 anos de funcionamento, rede de farmácias anuncia fechamento e demissão em massa|0|ptbr
77|Após 50 anos, rede de farmácias muito conhecidas, anuncia falência ao Brasil e baixa as portas oficialmente|0|ptbr
78|Milho segue recuando na B3: Por quê?|0|ptbr
79|Preço futuro do milho cai mais de 20% e alcança mínima para setembro de 2023|0|ptbr
80|Soja fecha em queda na Bolsa de Chicago|0|ptbr
81|Instituto de Defesa do Consumidor alerta Nubank sobre segurança do app|0|ptbr
82|A situação preocupante que clientes do Nubank vem passando fez banco emitir comunicado IMPORTANTE|0|ptbr
83|Justiça determina que Nubank pague cliente vítima de golpe|0|ptbr
84|Nubank vai falir?: banco impulsiona alerta para clientes após polêmica|0|ptbr
85|Restituição do Imposto de Renda terá início em 31 de maio com grupos prioritários|2|ptbr
86|CRONOGRAMA LIBERADO! Receita Federal divulga ordem de pagamento da restituição|2|ptbr
87|Quer ter chance de receber a restituição do IR 2023 no 1º lote? Entregue a declaração até dia 10|2|ptbr
88|Primeira rodada de pagamentos da restituição do Imposto de Renda começa em 31 de maio|2|ptbr
89|Dono do Facebook faz anúncio ASSUSTADOR sobre futuro da empresa|0|ptbr
90|Fúria na Meta: funcionários se rebelam contra a liderança de Zuckerberg|0|ptbr
91|Empresa presente na sua vida dá adeus a 4 mil funcionários|0|ptbr
92|Despedimentos na Meta. Destruíram a moral e confiança dos trabalhadores|0|ptbr
93|Com Pix, Brasil é o vice-líder mundial em pagamentos instantâneos|2|ptbr
94|"Pix: 122 milhões de transações foram feitas em um dia | BandNews TV"|2|ptbr
95|PIX impulsiona Brasil em ranking mundial de pagamentos instantâneos|2|ptbr
96|Pix: Brasil é o segundo em países por uso de pagamentos instantâneos; veja ranking|2|ptbr
97|Magalu demite por justa causa os fundadores do Kabum|0|ptbr
98|Fundadores da Kabum entram na justiça após demissão da Magazine Luiza; saiba detalhes|0|ptbr
99|Magazine Luiza demite fundadores do Kabum e alega justa causa; entenda o caso|0|ptbr
100|Fundadores do Kabum são demitidos por justa causa pelo Magazine Luiza|0|ptbr
101|Produção de soja argentina abaixo das expectativas|0|ptbr
102|Argentina deve diminuir produção de carne em 2023|0|ptbr
103|Argentina deve reduzir a produção de carne em 2023|0|ptbr
104|C6 Bank cria conta digital para quem mora no exterior|2|ptbr
105|Cliente MEI do C6 Bank também paga tarifa da conta?|0|ptbr
106|Crédito adicional no C6 Bank: entenda o que é e como usar|1|ptbr
107|Teve cobrança de tarifa na conta do C6 Bank? Veja como ficar isento|1|ptbr
108|+Milionária 48 sorteia R$ 37 milhões; veja os ganhadores|2|ptbr
109|Resultado da +Milionária: aposta de Pirassununga fatura R$ 36,8 mil; na Mega, região tem 45 prêmios|2|ptbr
110|Resultado da +Milionária - Concurso nº 48 - 22/04/2023|1|ptbr
111|Resultado +Milionária de R$ 37 milhões, concurso 48, hoje sábado (22/04)|2|ptbr
112|Paula Gama - Balela ou bom negócio? Veja se gasolina aditivada que rende mais funciona|1|ptbr
113|Afinal os combustíveis low cost valem a pena ou não?|1|ptbr
114|Saiba se gasolina aditivada que rende mais funciona|1|ptbr
115|TruthGPT: Elon Musk lança uma nova inteligência artificial|2|ptbr
116|Elon Musk ataca de novo e anuncia seu ChatGPT: conheça o TruthGPT|2|ptbr
117|Musk diz que cofundador do Google queria construir um “deus digital” com IA|0|ptbr
118|Nova atualização do CAIXA TEM gera tensão em quem tem dinheiro retido|0|ptbr
119|Não consigo sacar o PIS no Caixa Tem; e agora?|1|ptbr
120|AlagoasWeb|1|ptbr
121|Caixa Tem libera saque de R$ 900 ao longo desta semana|2|ptbr
122|Renda Fixa Turbo: Melhor LCA para multiplicar seu dinheiro com Selic a 13,75%|2|ptbr
123|Quem investiu neste título público 'premium' terá chance de 43% (ou mais) de lucro: uma nova rodada como potencial semelhante se abrirá em breve; veja como garantir|2|ptbr
124|Renda fixa permanece em alta|2|ptbr
125|Renda fixa: Quanto rende prêmio de R$ 42 milhões da Mega-Sena em CDB, poupança e Tesouro Selic após 1 ano|1|ptbr
126|Mercado Livre vai contratar 5,7 mil funcionários; veja como se candidatar|2|ptbr
127|Mercado Livre planeja abrir quase 6 mil vagas de emprego no Brasil|2|ptbr
128|MERCADO LIVRE anuncia contratação de 5700 FUNCIONÁRIOS; confira|2|ptbr
129|Gigante do e-commerce, Mercado Livre, anuncia mais de 5.000 vagas home office e presencial no Brasil|2|ptbr
130|Com diária de R$ 3.700 e couvert de R$ 250, alta renda garante resultados da JHSF|1|ptbr
131|Prévia da JHSF Participações (JHSF3)|1|ptbr
132|Gafisa (GFSA3): Vendas sobem 22% no 1T23, totalizando R$ 301,5 milhões|2|ptbr
133|Gafisa (GFSA3) tem alta de 22% nas vendas no 1º tri, para R$ 301,5 milhões|2|ptbr
134|Rombo em fundo que financia seguro-desemprego ultrapassa os R$ 5 bilhões|0|ptbr
135|Governo Lula: fundo do seguro-desemprego vai entrar no vermelho em 2023|0|ptbr
136|MaisPB • Fundo que financia o seguro desemprego precisa de R$ 5,1 bi para evitar rombo|0|ptbr
137|Herança de Bolsonaro: Seguro-desemprego está desfalcado em R$ 5 bilhões|0|ptbr
138|15 excelentes promoções de passagens aéreas, pacotes e hotéis para aproveitar hoje|2|ptbr
139|Promoção GOL tem passagens a partir de R$ 153 o trecho|2|ptbr
140|Termina hoje! Passagens nacionais da Gol, Latam e Azul a partir de R$ 230 ida e volta|2|ptbr
141|GOL tem passagens nacionais a partir de R$ 152 o trecho para viagens até julho|2|ptbr
142|Anvisa suspende vendas de empresa de suplementação alimentar|0|ptbr
143|Anvisa suspende shakes e chás da Labornatus|0|ptbr
144|Anvisa suspende a comercialização de produtos de empresa de suplementação alimentar|0|ptbr
145|"Anvisa suspende produtos de empresa de suplementos alimentares - Campos 24 Horas | Seu Jornal Online."|0|ptbr
146|Chevrolet Silverado será o carro da vencedora de reality|2|ptbr
147|Chevrolet Silverado é revelada no Brasil e será prêmio do BBB 23|2|ptbr
148|Chevrolet Silverado será um dos prêmios do vencedor do BBB 23|2|ptbr
149|Silverado, nova picape da GM no Brasil, será apresentada no BBB dia 25|2|ptbr
150|Tesouro Direto: juros mantêm queda, com IPCA+2045 a 6,09%; mercado repercute fala de Campos Neto|1|ptbr
151|Campos Neto: Nunca subiram tanto os juros em ano eleitoral como em 2022|0|ptbr
152|Cid Gomes dá aula de Economia ao economista Campos Neto... ou quase isso|0|ptbr
153|Campos Neto segue falando “besteiras”, diz Gleisi|0|ptbr
154|Cliente xingado e ameaçado por CEO da Hurb diz que tem pacotes de viagem em aberto que somam mais de R$ 14 mil|0|ptbr
155|Hurb era uma pirâmide financeira? E o que isso significa – Comportamento – Estadão E-Investidor – As principais notícias do mercado financeiro|0|ptbr
156|Três-lagoenses entram com processos de reembolsos por pacotes de viagens cancelados - Hojemais de Três Lagoas MS|0|ptbr
157|Após relatos de calotes, Ministério da Justiça abre ação contra Hurb|0|ptbr
158|Ibovespa: 4 fatores que pesam sobre a Bolsa hoje|0|ptbr
159|Ibovespa Futuro cai, seguindo exterior e com investidores atentos a Campos Neto na CAE do Senado|0|ptbr
160|Após audiência de presidente do BC, dólar sobe e fecha a R$ 5,065|0|ptbr
161|Ibovespa (IBOV) ganha ritmo hoje com balanços e Campos Neto|2|ptbr
162|Juros sobre capital próprio entram na mira de Haddad; confira os planos do ministro para coibir o ‘abuso do JCP’|0|ptbr
163|"Análise: Haddad mira isenções fiscais para fazer caixa | WW"|1|ptbr
164|A pedido de Haddad, Receita elabora estudos sobre renúncias fiscais|1|ptbr
165|"Renúncia fiscal terá lista de beneficiados | SBT Brasil (24/04/23)"|1|ptbr
166|Investimentos no Tesouro Direto batem recorde em março|2|ptbr
167|Tesouro Direto: investimento em títulos públicos atinge a marca histórica de R$ 7 bilhões em março|2|ptbr
168|Tesouro Direto: venda de títulos soma R$ 6,84 bilhões em março e bate recorde|2|ptbr
169|Comitê 'atropela' lista tríplice e visa reconduzir diretor da Petrobrás; FUP condena a ação|0|ptbr
170|Petrobras: Indicação do governo gera atrito na empresa - 25/04/2023 - Mercado|0|ptbr
171|COMITÊ DA PETROBRÁS SUGERE RECONDUÇÃO DE SALVADOR DAHAN PARA DIRETORIA EXECUTIVA E RECEBE CRÍTICAS DA FUP|0|ptbr
172|Bolsonaristas da Petrobras ignoram lista tríplice e tentam manter aliado do ex-capitão no Conselho da estatal|0|ptbr
173|CVC perde Kopel e busca novo CFO|0|ptbr
174|Ações da CVC (CVCB3) caem mais de 4% em meio à renúncia de diretor financeiro|0|ptbr
175|A importante baixa na diretoria da CVC que preocupa alguns analistas|0|ptbr
176|Mais problemas para a CVC (CVCB3): diretor financeiro deixa cargo após renegociação da dívida com credores de debêntures; ações caem na B3|0|ptbr
177|Ibovespa cai 0,70%, com temor de recessão no exterior e queda de commodities; dólar sobe 0,47%|0|ptbr
178|Ibovespa recua nesta terça, foi a quinta queda nos últimos sete pregões|0|ptbr
179|Ibovespa cai puxado por Vale (VALE3), Petrobras (PETR4) e exterior; dólar, Itaú (ITUB4) e Bradesco (BBDC4) sobem|0|ptbr
180|"Ibovespa tem queda com desvalorização das ações da Vale | BandNews TV"|0|ptbr
181|Santander (SANB11) registra lucro de R$ 2,1 bilhões no 1T23; queda de 46% no ano|0|ptbr
182|Santander Brasil (SANB11) tem lucro gerencial de R$ 2,14 bi no 1º tri, queda anual de 46,6%|0|ptbr
183|Notícia EXCELENTE sobre o Itaú é confirmada, mas situação do Bradesco deixa banco sem ter o que comemorar|1|ptbr
184|Santander Brasil tem lucro de R$ 2,14 bilhões, queda de 47% para o 1º trimestre|0|ptbr
185|Prefeitura de SP proíbe circulação dos triciclos elétricos conhecidos como 'tuk-tuks'|0|ptbr
186|Prefeitura de São Paulo proíbe novo serviço de transporte por aplicativo através de “tuk-tuks”|0|ptbr
187|Prefeitura barra circulação de tuk-tuks da Grilo em SP após uma semana de funcionamento|0|ptbr
188|Tuk-tuk é proibido em São Paulo uma semana após estreia do serviço|0|ptbr
189|Nubank: veja como aumentar o limite do cartão de crédito sem passar por análise|2|ptbr
190|SAIU! Nubank lança ferramenta que aumenta o limite do cartão na hora|2|ptbr
191|Excelente recurso do Nubank vai te liberar limite fácil|2|ptbr
192|Como usar o 'Nu Limite Garantido' e aumentar o seu crédito no Nubank?|2|ptbr
193|3M anuncia demissão em massa|0|ptbr
194|3M anuncia corte de 6 mil funcionários pelo mundo|0|ptbr
195|3M anuncia mais de 6.000 demissões pelo mundo|0|ptbr
196|Vendas no varejo caem 0,1% em fevereiro ante janeiro, diz IBGE; projeção era de queda de 0,2%|1|ptbr
197|Após abrirem 2023 em disparada, vendas do comércio apresentam estabilidade em fevereiro|1|ptbr
198|Comércio varejista cai 0,1% de janeiro para fevereiro|0|ptbr
199|Condições econômicas restritas devem baixar temperatura do varejo no ano, dizem analistas|0|ptbr
200|Disney fará segunda rodada de demissões em massa nesta semana|0|ptbr
201|Famosa empresa deve anunciar demissão em massa de funcionários|0|ptbr
202|Disney inicia segunda rodada de cortes em 2023 com foco no segmento de negócios|0|ptbr
203|Walt Disney iniciará segunda onda de demissões em massa|0|ptbr
204|Nova parceira da Shein vê valor de mercado saltar 200% após acordo; ações da Coteminas voltam a subir|2|ptbr
205|Coteminas (CTNM3; CTNM4): ações têm novo salto de mais de 20% após triplicarem de valor com “efeito Shein”|2|ptbr
206|Grande empresa fecha acordo com Shein: veja o que deve mudar|2|ptbr
207|Coteminas: Ações saltam 200% após acordo com Shein|2|ptbr
208|Mudança na correção do FGTS pode render R$ 2,1 mil a mais em 10 anos|2|ptbr
209|"STF deve retomar julgamento sobre correção do FGTS | BandNews TV"|1|ptbr
210|VITÓRIA: Dinheiro EXTRA para os brasileiros com carteira assinada cai como GRANDE SURPRESA nesta semana|2|ptbr
211|"Augusto Carvalho | Nova correção para o FGTS é uma questão de justiça urgente"|1|ptbr
212|Arrecadação atinge R$ 171 bilhões em março de 2023|2|ptbr
213|Governo federal arrecada R$ 581,8 bilhões no 1º trimestre, o maior resultado da história para o período|2|ptbr
214|Arrecadação federal atinge R$ 171,05 bilhões em março|2|ptbr
215|Haddad diz que imposto sobre empresas chinesas será embutido nas compras|0|ptbr
216|Filme repetido: Governo LULA bate o martelo e confirma que vai tributar quem compra na SHEIN e SHOPEE|0|ptbr
217|Shein, Shopee e AliExpress: Lula vai criar novo imposto|0|ptbr
218|Haddad explica como pretende taxar sua blusinha da Shein|0|ptbr
219|A moeda da Argentina não vale mais nada|0|ptbr
220|Ministro da Argentina se compromete a estabilizar câmbio e renegociar programa do FMI|1|ptbr
221|Argentina: 104% de inflação e ministro da Economia quer ser presidente|0|ptbr
222|Dólar paralelo dispara e chega a quase 500 pesos na Argentina, e governo acusa oposição e especuladores|0|ptbr
223|Empreendedores comemoram novo prazo para pagar empréstimo|2|ptbr
224|Lula sanciona lei que amplia de 4 para 6 anos prazo para pagar Pronampe|2|ptbr
225|Governo sanciona lei que amplia prazo de pagamentos dos empréstimos do Pronampe|2|ptbr
226|Lei sancionada amplia o prazo de pagamento do Pronampe – Sistema FENACON|2|ptbr
227|IR: confira os 8 principais “dedos-duros” que levam à malha fina|0|ptbr
228|Imposto de Renda 2023: valor do imóvel quitado deve ser atualizado na declaração?|1|ptbr
229|Como declarar compra e venda de imóvel no Imposto de Renda|1|ptbr
230|Malha Fina do IR: como a desinformação pode custar caro|1|ptbr
231|Carrefour Brasil (CRFB3): concorrência mais alta e inflação de alimentos mais baixa abalam vendas; ação fecha em leve queda|0|ptbr
232|Carrefour Brasil (CRFB3): Vendas saltam 31% no 1T23, a R$ 27,1 bilhões|2|ptbr
233|Carrefour (CRFB3) registra alta de 30,7% nas vendas no 1º tri, para R$ 27,1 bilhões|2|ptbr
234|Prévia operacional do Carrefour (CRFB3)|1|ptbr
235|Soja: Mercado volta a subir na tarde desta 2ª feira na Bolsa de Chicago com olhos voltados para Argentina|2|ptbr
236|Baixa demanda derruba soja em Chicago|0|ptbr
237|Milho despenca 3,8% na B3 e fecha 2ªfeira na casa dos R$ 64,00|0|ptbr
238|A resposta de Santander (SANB11) e Nubank (NUBR34) a eventual teto de juros no cartão|1|ptbr
239|Milhões de clientes do Nubank podem perder seus cartões, diz CEO|0|ptbr
240|Se isto acontecer, milhões de brasileiros podem perder o cartão de crédito|0|ptbr
241|IPCA-15: Prévia da inflação oficial será divulgada amanhã, veja o que esperar Por Investing.com|1|ptbr
242|Esquecido pelo mercado, IPCA-15 pode mudar rumo da Selic; confira as projeções para a prévia da inflação|1|ptbr
243|PagBank Investimentos - Ibovespa hoje: Inflação e prévia do PIB são os destaques da semana|1|ptbr
244|Bolsas caem em semana marcada por resultados de big techs e dados de inflação; reação aos ADRs no feriado e mais destaques|0|ptbr
245|Mercado eleva projeções da inflação para 6,04% e do PIB para 0,96%|0|ptbr
246|Mercado aumenta projeção para crescimento da economia em 2023|2|ptbr
247|Mercado aumenta previsão de inflação em 2023: 6,04%|0|ptbr
248|Dólar alto em 2023?|1|ptbr
249|Brasil registra 1º superávit em conta corrente para março em 17 anos|2|ptbr
250|Contas externas têm primeiro saldo positivo desde junho de 2022|2|ptbr
251|Contas externas têm superavit de US$ 286 milhões em março|2|ptbr
252|Balanço de transações correntes fecha março com superávit de US$ 286 milhões|2|ptbr
253|Ford confirma lançamento da nova Ranger 2024 para o segundo semestre|2|ptbr
254|Fábrica argentina da Ford usa inteligência artificial até para apertar parafuso|2|ptbr
255|Ford investe R$ 3,3 bilhões para expandir produção da nova Ranger|2|ptbr
256|Nova Ford Ranger feita na Argentina chega no segundo semestre|2|ptbr
257|Clientes sacaram R$ 850 bi de Credit Suisse e First Republic em crise do 1º tri|0|ptbr
258|Credit Suisse perde 62 milhões de euros em depósitos e ativos no primeiro trimestre|0|ptbr
259|A fuga bilionária de recursos que quase quebrou o Credit Suisse revelada pelo último balanço do banco|0|ptbr
260|Credit Suisse tem lucro de US$ 13,9 bilhões no 1º trimestre|2|ptbr
261|Microsoft lucra US$ 18,30 bilhões no 3º trimestre fiscal, alta anual de 9%; receitas superam expectativas do mercado|2|ptbr
262|Xbox: Este foi o segundo trimestre mais forte de todos os tempos para a receita de jogos - Windows Club|2|ptbr
263|Microsoft supera estimativas de receita do 3º tri|2|ptbr
264|Microsoft: Resultado do 3T supera previsão com nuvem afastando temor sobre demanda Por Investing.com|2|ptbr
265|Em crise, planos de saúde renegociam pagamentos e buscam formas de diminuir uso|0|ptbr
266|Planos de saúde registram maior prejuízo operacional desde 2001|0|ptbr
267|Unimed Goiânia foi o plano de saúde com o 9º maior prejuízo de 2022, diz ANS|0|ptbr
268|Planos de saúde fecharam 2022 no 'zero a zero', diz ANS|1|ptbr
269|First Republic registra queda de 41% em depósitos com crise nos bancos regionais dos EUA; ação despenca quase 20%|0|ptbr
270|Ações do First Republic Bank despencam após anúncio de que clientes sacaram US$ 100 bi em março|0|ptbr
271|Derrocada de 49% em um dia e retorno do temor sobre bancos regionais dos EUA: o que aconteceu com as ações do First Republic|0|ptbr
272|Balanços de grandes bancos estrangeiros voltam a acender o alerta na bolsa|0|ptbr
273|Em abril, confiança da indústria permaneceu em queda|0|ptbr
274|Confiança caiu em 20 de 29 setores da indústria em abril, aponta CNI|0|ptbr
275|Sondagem mostra indústria da construção preocupada com condições atuais da economia e empresa|0|ptbr
276|Atividade na indústria de construção registra queda pelo quinto mês|0|ptbr
277|Bitcoin interrompe sequência de quedas com analistas apontando tendência de alta|2|ptbr
278|Bom dia, Bitcoin (BTC): quem tem medo dos US$ 27 mil? Analistas avaliam suporte de preço e apontam ‘apenas uma correção’|1|ptbr
279|Bitcoin abre em nova queda e CAKE desaba 11%|0|ptbr
280|Preço do Bitcoin hoje 25/04/2023: cotação do BTC permanece em US$ 27 mil e analistas dizem que isso pode ser positivo|1|ptbr
281|Startup do agro, Arado levanta R$ 60 milhões para conectar campo e cidade|2|ptbr
282|Arado levanta série A de R$ 60 milhões e faz 1ª aquisição|2|ptbr
283|Clicampo vira Arado e capta R$ 60 milhões para conectar produtor rural a restaurantes|2|ptbr
284|Petrobras (PETR4) quer voltar para distribuição e retomar marca BR da Vibra (VBBR3): o que isso sinaliza para as ações?|1|ptbr
285|Vibra (VBBR3) pode perder marca BR para a Petrobras (PETR4)?|0|ptbr
286|Caça à privatização: Petrobras pode tentar reaver bandeira postos BR|1|ptbr
287|Com volta à distribuição, Petrobras pretende retomar marca BR na Justiça|1|ptbr
288|Para Andreessen Horowitz, brasileiros deveriam 'se gabar' mais no pitch|1|ptbr
289|Para a guru das fintechs, o empreendedor brasileiro precisa se vender melhor|1|ptbr
290|Queria que os EUA copiassem os reguladores brasileiros, diz Angela Strange|1|ptbr
291|BSV: Venture capital tem que enfrentar tempestade com novos investimentos|1|ptbr
292|Pix offline? Itaú testa pagamento por aproximação com celular; veja como funciona|1|ptbr
293|Itaú toma atitude impensável, devolve dinheiro para os clientes e surpreende o mercado|2|ptbr
294|Itaú libera função para mais de 1 milhão de clientes|2|ptbr
295|Itaú disponibiliza iniciação de pagamentos para pequenas e médias empresas|2|ptbr
296|Aposta de Americana fatura mais de R$ 58 mil na quina da Mega-sena - O Liberal - Aposta de Americana fatura mais de R$ 58 mil na quina da Mega-sena|2|ptbr
297|Mega-Sena: quanto rendem na poupança os R$ 50 milhões do prêmio?|1|ptbr
298|Mega-Sena sorteia R$ 50 milhões nesta quarta-feira; veja como apostar|1|ptbr
299|50 milhões na Mega Sena: Valor pode deixar você mais rico|1|ptbr
300|Justiça condena Kraft Heinz por publicidade desleal sobre maionese em briga com a Unilever|0|ptbr
301|Marcas de maionese brigam na Justiça pelo título de 'mais cremosa' • Orbi|1|ptbr
302|Justiça aplica multa em disputa pela maionese mais gostosa|0|ptbr
303|Marca de maionese é condenada pelo TJ-SP por publicidade comparativa desleal|0|ptbr
304|Minério de ferro vai à mínima em quatro meses diante de menor demanda da China e aumento da oferta|0|ptbr
305|Demanda lenta por aço na China puxa queda dos preços do minério de ferro|0|ptbr
306|Vale sob pressão: minério de ferro cai pelo 5º dia com excesso de aço na China|0|ptbr
307|Minério de ferro atinge a menor cotação dos últimos cinco meses|0|ptbr
308|Preço do leite se mantém em alta em abril|2|ptbr
309|Preços do leite no campo seguem em alta no 1° trimestre de 2023|2|ptbr
310|Preço do açúcar cristal sobe no mercado interno com menor oferta|2|ptbr
311|Demanda fragilizada e importações esfriam mercado de derivados de leite no mês de março, aponta Boletim do Cepea|0|ptbr
312|Vale a pena investir em Bitcoin hoje? Para analistas, cripto pode saltar 80% em um ano|2|ptbr
313|Bitcoin chegará a US$ 100.000 até o fim de 2024, calcula Standard Chartered Por Investing.com|2|ptbr
314|Padrão raro, visto a cada 4 anos, sugere grande alta para o Bitcoin|2|ptbr
315|Beneficiários com NIS de final 7 recebem novo Bolsa Família|1|ptbr
